epoch,acc,loss,val_acc,val_loss
0,0.667014613779,0.675340314551,0.7825,0.463308345318
1,0.768099547511,0.492621156643,0.8375,0.390321546376
2,0.804603202228,0.438995297693,0.862,0.327196032763
3,0.826183431953,0.410702047165,0.857,0.325330063045
4,0.839235990254,0.390960135868,0.845,0.360554220557
5,0.844152453881,0.381016417153,0.8765,0.285156483769
6,0.846719457014,0.378797759209,0.873,0.308019481242
7,0.848068221371,0.382736339753,0.8955,0.30986993234
8,0.845718760877,0.388703355269,0.893,0.284808823943
9,0.840497737557,0.407922105726,0.862,0.348092556566
