epoch,acc,loss,val_acc,val_loss
0,0.4951171875,0.693224285031,0.5,0.692916678429
1,0.5146484375,0.690589442849,0.538,0.686288500071
2,0.5849609375,0.665300333872,0.6185,0.639235454798
3,0.6181640625,0.633024050039,0.629,0.634516198754
4,0.634765625,0.635748228873,0.6255,0.611241259813
5,0.63720703125,0.616460109595,0.6475,0.599954627275
6,0.65673828125,0.605713700759,0.6325,0.613726293802
7,0.65478515625,0.603370459285,0.6785,0.592105758429
8,0.65673828125,0.5931468294,0.704,0.561499014556
9,0.69091796875,0.586435784469,0.718,0.549989523888
10,0.72216796875,0.55654164165,0.738,0.526180991888
11,0.70849609375,0.559353650024,0.745,0.508901707649
12,0.72998046875,0.53293488588,0.743,0.509111014664
13,0.720703125,0.536480900017,0.755,0.517706218958
14,0.74072265625,0.5116991619,0.7325,0.520659356177
15,0.7314453125,0.534872149408,0.741,0.529486280084
16,0.73046875,0.526470082346,0.757,0.495684957623
17,0.72705078125,0.518752377888,0.7375,0.530538078994
18,0.755859375,0.498245785653,0.7685,0.475932168722
19,0.77294921875,0.477760640264,0.77,0.472230114669
20,0.76513671875,0.490221907094,0.7815,0.454300797254
21,0.7685546875,0.479287546943,0.7765,0.467117011607
22,0.763671875,0.490265692002,0.7975,0.44476581943
23,0.77978515625,0.463719876425,0.801,0.429633643001
24,0.78515625,0.458823122288,0.8,0.431172044411
25,0.7841796875,0.459413249337,0.8065,0.420415266663
26,0.76806640625,0.467347762722,0.815,0.425060027003
27,0.80126953125,0.432234564651,0.8205,0.398720570266
28,0.7978515625,0.422736935463,0.809,0.389952036202
29,0.78759765625,0.426261196248,0.7985,0.412507571012
30,0.822265625,0.403005325454,0.817,0.396534395754
31,0.80810546875,0.405107165803,0.836,0.36834145087
32,0.81884765625,0.39434810172,0.787,0.460963988036
33,0.81884765625,0.393669952289,0.8185,0.371699305862
34,0.82958984375,0.374196279998,0.8145,0.385526190519
35,0.8173828125,0.392273221703,0.8575,0.333143167645
36,0.8427734375,0.356147339422,0.8505,0.330882572949
37,0.8291015625,0.385782553858,0.854,0.339148608685
38,0.8486328125,0.352865153865,0.8505,0.322319048777
39,0.84765625,0.347040178676,0.8725,0.311569470838
40,0.84130859375,0.367198402731,0.845,0.331587865964
41,0.83984375,0.356972265028,0.8725,0.294830456868
42,0.86279296875,0.327118108029,0.862,0.311557633221
43,0.84521484375,0.349360943728,0.8715,0.287773954704
44,0.8505859375,0.334558263312,0.8585,0.309761159249
45,0.8515625,0.334426970934,0.837,0.344077420175
46,0.8583984375,0.326652700562,0.871,0.291531843036
47,0.8515625,0.324773443121,0.8855,0.294870522976
48,0.8564453125,0.318016355173,0.8725,0.292784784377
49,0.8544921875,0.326111634662,0.8765,0.275754518654
50,0.865234375,0.312113223397,0.858,0.324686242491
51,0.8544921875,0.318996088317,0.862,0.297273428835
52,0.86328125,0.304178651921,0.8725,0.290558838218
53,0.85888671875,0.310686498247,0.8925,0.260373592839
54,0.8642578125,0.315985995032,0.8695,0.300274634153
55,0.8701171875,0.299384524071,0.88,0.266157120615
56,0.86767578125,0.294947796712,0.8825,0.258378737852
57,0.88037109375,0.282087453277,0.8915,0.247300229637
58,0.88134765625,0.273129098779,0.8785,0.270334896937
59,0.87548828125,0.2805592308,0.889,0.239404860191
60,0.8798828125,0.283947018528,0.8885,0.267203367695
61,0.87451171875,0.292555610034,0.9015,0.236479437463
62,0.87060546875,0.288223188374,0.8995,0.235580493361
63,0.880859375,0.278581443352,0.893,0.263857948955
64,0.88134765625,0.264298114982,0.8945,0.233330248445
65,0.87158203125,0.292447885622,0.902,0.236333357483
66,0.8828125,0.268134892387,0.9065,0.226282485966
67,0.88525390625,0.260214977061,0.912,0.220370200604
68,0.8876953125,0.257694890854,0.8895,0.267010343007
69,0.892578125,0.254882583107,0.915,0.206191560466
70,0.89208984375,0.246497066557,0.8945,0.245341859065
71,0.87890625,0.270418702872,0.9095,0.218999906341
72,0.892578125,0.253584432561,0.909,0.222209430069
73,0.8876953125,0.26568959227,0.913,0.213096733544
74,0.89697265625,0.243769362896,0.8915,0.236899991855
75,0.8935546875,0.253139316259,0.905,0.221470200598
76,0.90087890625,0.235225002553,0.911,0.208783666387
77,0.9033203125,0.235142517162,0.9005,0.234053065225
78,0.8955078125,0.249315004367,0.919,0.198187011126
79,0.8876953125,0.246923176404,0.9165,0.210927788392
80,0.90380859375,0.227841363412,0.9085,0.214755689166
81,0.89990234375,0.22703912932,0.908,0.229187452923
82,0.8896484375,0.252433394566,0.9155,0.193300620362
83,0.892578125,0.242032150756,0.911,0.214120499518
84,0.90087890625,0.235300481039,0.9185,0.207372137858
85,0.9091796875,0.218492401094,0.9125,0.208324475691
86,0.89794921875,0.235554913987,0.9035,0.219227521798
87,0.904296875,0.233279240482,0.9075,0.216104982585
88,0.9013671875,0.223623464046,0.912,0.193536115237
89,0.908203125,0.225174421841,0.917,0.195237783939
90,0.91455078125,0.194465156495,0.9085,0.241840747023
91,0.91064453125,0.225069347874,0.912,0.202302796207
92,0.91064453125,0.209013299553,0.9165,0.196947053341
93,0.92138671875,0.205945622058,0.9245,0.178375798039
94,0.91455078125,0.202595643219,0.916,0.194642381757
95,0.91162109375,0.208849819312,0.92,0.191796695877
96,0.9033203125,0.219047214963,0.9075,0.211293316217
97,0.90625,0.212854445916,0.935,0.171297338873
98,0.9140625,0.201588224607,0.9175,0.192619285604
99,0.90966796875,0.215766453056,0.931,0.18494941004
