epoch,acc,loss,val_acc,val_loss
0,0.5615234375,0.793460492045,0.5,1.53966362739
1,0.572265625,0.745148624526,0.571,0.738512658477
2,0.5771484375,0.725340737379,0.6035,0.676547473431
3,0.58837890625,0.719446373289,0.5435,1.04165969896
4,0.599609375,0.683975184336,0.5555,0.790475569367
5,0.603515625,0.703211278305,0.522,0.917396192014
6,0.62841796875,0.647565416759,0.7,0.56750650233
7,0.6357421875,0.643464741879,0.6125,0.799167842805
8,0.64208984375,0.64057906752,0.6615,0.630057588756
9,0.66015625,0.631959303631,0.5375,0.882746601284
10,0.673828125,0.595793927438,0.651,0.717814391553
11,0.6689453125,0.617175917025,0.7,0.568997697949
12,0.68603515625,0.579969203915,0.724,0.536319369614
13,0.69189453125,0.568998303264,0.6535,0.718726157606
14,0.68994140625,0.586988645955,0.629,0.752778312981
15,0.70751953125,0.580940322834,0.6775,0.665660119355
16,0.7080078125,0.565718933998,0.651,0.62573696506
17,0.7216796875,0.547339987999,0.7185,0.549255556941
18,0.72216796875,0.542724315717,0.661,0.628865079284
19,0.70751953125,0.55782799283,0.698,0.571335784137
20,0.75146484375,0.494793019607,0.7385,0.539276858985
21,0.73486328125,0.520565593557,0.6535,0.659356767714
22,0.73779296875,0.522923791199,0.6755,0.644165336996
23,0.7685546875,0.49357583723,0.6725,0.615622762144
24,0.7626953125,0.496191307233,0.6395,0.788208613813
25,0.76904296875,0.484979465487,0.7445,0.526445174605
26,0.75830078125,0.491888251679,0.556,1.31157023519
27,0.78076171875,0.465911208594,0.553,0.979913555831
28,0.7978515625,0.444791331422,0.76,0.506491578996
29,0.779296875,0.465550021792,0.753,0.512726161808
30,0.7880859375,0.444219401572,0.774,0.553453723609
31,0.791015625,0.442023210751,0.6845,0.78110912773
32,0.7919921875,0.441947672778,0.526,1.50556471092
33,0.81298828125,0.402665277215,0.808,0.413540839851
34,0.80908203125,0.407366056927,0.7895,0.462018072397
35,0.8349609375,0.382628868902,0.8515,0.357519736931
36,0.8251953125,0.394368755849,0.8115,0.412472111881
37,0.826171875,0.371885264904,0.8115,0.421535303116
38,0.8310546875,0.365327847932,0.8155,0.396162142113
39,0.83642578125,0.352734010536,0.8185,0.397296331823
40,0.84326171875,0.347181026533,0.8035,0.413281099439
41,0.85498046875,0.334963687434,0.7645,0.521763579845
42,0.84619140625,0.339622344793,0.768,0.482444216788
43,0.8662109375,0.305547453914,0.811,0.437547189251
44,0.85205078125,0.316809472657,0.8575,0.344806475639
45,0.8798828125,0.279902491238,0.7855,0.469503599808
46,0.8642578125,0.312157299362,0.582,1.0880712454
47,0.86376953125,0.311084570327,0.876,0.301208527938
48,0.88525390625,0.27786392183,0.8635,0.304225562811
49,0.89111328125,0.259728251291,0.81,0.410651835874
50,0.88232421875,0.277484914011,0.8005,0.455949023426
51,0.8701171875,0.291613399204,0.848,0.328989685237
52,0.8916015625,0.253961395094,0.7625,0.559543453868
53,0.88232421875,0.263434662389,0.829,0.410434822641
54,0.87646484375,0.277695906894,0.831,0.360806750044
55,0.8955078125,0.251095717911,0.8895,0.271861011025
56,0.8876953125,0.259835917466,0.9115,0.222889535051
57,0.90771484375,0.222379057483,0.835,0.433537565687
58,0.892578125,0.248651419075,0.8775,0.285633704722
59,0.89794921875,0.239726331849,0.911,0.216501960911
60,0.900390625,0.234881878001,0.8455,0.334948547706
61,0.88818359375,0.247620185342,0.9125,0.220127016343
62,0.88916015625,0.260593788444,0.8585,0.312079853058
63,0.91650390625,0.20191857926,0.873,0.298850037001
64,0.89892578125,0.238187630544,0.907,0.231181277853
65,0.89892578125,0.239608448443,0.9075,0.219805793914
66,0.904296875,0.229063843461,0.863,0.325190313436
67,0.90234375,0.226879992621,0.894,0.242845172604
68,0.91796875,0.199153767786,0.8875,0.242075715266
69,0.90234375,0.23586585213,0.894,0.25205262954
70,0.9208984375,0.187849916263,0.8915,0.248974139085
71,0.90625,0.218521965009,0.9035,0.244585334063
72,0.90966796875,0.218235398686,0.9215,0.187968203105
73,0.90673828125,0.21788723335,0.897,0.250649075158
74,0.90673828125,0.220731281695,0.903,0.235131372638
75,0.92138671875,0.191776074709,0.9035,0.220665151902
76,0.91357421875,0.195747663907,0.845,0.375735203766
77,0.9228515625,0.190780357989,0.8985,0.244926067039
78,0.9326171875,0.174857859132,0.899,0.231109297814
79,0.919921875,0.195231102576,0.835,0.336212278575
80,0.92578125,0.180872842542,0.9155,0.189676616916
81,0.916015625,0.200352480793,0.909,0.218879523889
82,0.93310546875,0.17378940088,0.918,0.196322175187
83,0.91552734375,0.204139505648,0.9285,0.173425092509
84,0.9248046875,0.186976611018,0.918,0.192440925669
85,0.9072265625,0.20851497585,0.9265,0.176236925226
86,0.92333984375,0.185503091303,0.882,0.322218991881
87,0.92578125,0.166828654328,0.9325,0.16753821552
88,0.91796875,0.189621603666,0.882,0.288853360547
89,0.923828125,0.181372671886,0.9145,0.191972338065
90,0.95263671875,0.138455647102,0.943,0.15124576915
91,0.92578125,0.180297191697,0.834,0.361685523659
92,0.91552734375,0.200561113477,0.7745,0.444755593747
93,0.92822265625,0.167671815278,0.922,0.1864086955
94,0.93603515625,0.144289829308,0.9375,0.173114982797
95,0.92724609375,0.170436201715,0.9195,0.205031921295
96,0.93212890625,0.172183134271,0.9245,0.196870102458
97,0.9248046875,0.17644015218,0.9335,0.157982554181
98,0.93408203125,0.153071426659,0.7965,0.541642110215
99,0.9296875,0.182558208035,0.9435,0.158368497007
